Country or Area,Year,Value,Value Footnotes
Afghanistan,1960,537777811.9,
Afghanistan,1961,548888894.6,
Afghanistan,1962,546666678,
Afghanistan,1963,751111190.8,
Afghanistan,1964,800000045.5,
Afghanistan,1965,1006666638,
Afghanistan,1966,1399999966,
Afghanistan,1967,1673333419,
Afghanistan,1968,1373333367,
Afghanistan,1969,1408888923,
Afghanistan,1970,1748886596,
Afghanistan,1971,1831108972,
Afghanistan,1972,1595555476,
Afghanistan,1973,1733333265,
Afghanistan,1974,2155555499,
Afghanistan,1975,2366666615,
Afghanistan,1976,2555555567,
Afghanistan,1977,2953333419,
Afghanistan,1978,3300000108,
Afghanistan,1979,3697940345,
Afghanistan,1980,3641723447,
Afghanistan,1981,3478787910,
Afghanistan,2001,2461666315,
Afghanistan,2002,4128818043,
Afghanistan,2003,4583648922,
Afghanistan,2004,5285461999,
Afghanistan,2005,6275076016,
Afghanistan,2006,7057597615,
Afghanistan,2007,9843851009,
Afghanistan,2008,10190534637,
Afghanistan,2009,12486950469,
Afghanistan,2010,15936784436,
Afghanistan,2011,18033526069,
Albania,1984,1924242456,
Albania,1985,1965384581,
Albania,1986,2173750016,
Albania,1987,2156624896,
Albania,1988,2126000000,
Albania,1989,2335124992,
Albania,1990,2101624960,
Albania,1991,1139166679,
Albania,1992,709452572.7,
Albania,1993,1228071037,
Albania,1994,1985673026,
Albania,1995,2424498953,
Albania,1996,3013217853,
Albania,1997,2196223714,
Albania,1998,2727745453,
Albania,1999,3434402453,
Albania,2000,3686649387,
Albania,2001,4091020249,
Albania,2002,4449373456,
Albania,2003,5652325082,
Albania,2004,7464446950,
Albania,2005,8376483740,
Albania,2006,9132562332,
Albania,2007,10704661571,
Albania,2008,12968652891,
Albania,2009,12118580597,
Albania,2010,11858166295,
Albania,2011,12959563902,
Albania,2012,13119013351,
Algeria,1960,2723637620,
Algeria,1961,2434766866,
Algeria,1962,2001460839,
Algeria,1963,2703004010,
Algeria,1964,2909340115,
Algeria,1965,3136284385,
Algeria,1966,3039859268,
Algeria,1967,3370870461,
Algeria,1968,3852147113,
Algeria,1969,4257253358,
Algeria,1970,4863487557,
Algeria,1971,5077222330,
Algeria,1972,6761786484,
Algeria,1973,8715106129,
Algeria,1974,13209713770,
Algeria,1975,15557934473,
Algeria,1976,17728348385,
Algeria,1977,20971901063,
Algeria,1978,26364491675,
Algeria,1979,33243421339,
Algeria,1980,42345276288,
Algeria,1981,44348670724,
Algeria,1982,45207090668,
Algeria,1983,48801372228,
Algeria,1984,53698280323,
Algeria,1985,57937867717,
Algeria,1986,63696299985,
Algeria,1987,66742269090,
Algeria,1988,59089065517,
Algeria,1989,55631488294,
Algeria,1990,62045098370,
Algeria,1991,45715368144,
Algeria,1992,48003297249,
Algeria,1993,49946456681,
Algeria,1994,42542573602,
Algeria,1995,41764054035,
Algeria,1996,46941496308,
Algeria,1997,48177861891,
Algeria,1998,48187780126,
Algeria,1999,48640613515,
Algeria,2000,54790058957,
Algeria,2001,55180990396,
Algeria,2002,57053038888,
Algeria,2003,68018606041,
Algeria,2004,85013944728,
Algeria,2005,1.02339E+11,
Algeria,2006,1.17169E+11,
Algeria,2007,1.35804E+11,
Algeria,2008,1.70989E+11,
Algeria,2009,1.3812E+11,
Algeria,2010,1.61778E+11,
Algeria,2011,1.98539E+11,
Algeria,2012,2.07955E+11,
Andorra,1970,78617570.32,
Andorra,1971,89406659.51,
Andorra,1972,113414331.9,
Andorra,1973,150841699.1,
Andorra,1974,186557164,
Andorra,1975,220112850.8,
Andorra,1976,227284165.9,
Andorra,1977,253998069.2,
Andorra,1978,308020384.4,
Andorra,1979,411548246.8,
Andorra,1980,446377494.9,
Andorra,1981,388983013.9,
Andorra,1982,375914742.9,
Andorra,1983,327849949,
Andorra,1984,330073024.9,
Andorra,1985,346742901.7,
Andorra,1986,481996232.9,
Andorra,1987,611300198.5,
Andorra,1988,721426027.5,
Andorra,1989,795489398,
Andorra,1990,1028989439,
Andorra,1991,1106890943,
Andorra,1992,1209992604,
Andorra,1993,1007090896,
Andorra,1994,1017544619,
Andorra,1995,1178745262,
Andorra,1996,1224023470,
Andorra,1997,1180646037,
Andorra,1998,1211953954,
Andorra,1999,1239840266,
Andorra,2000,1133644295,
Andorra,2001,1264760246,
Andorra,2002,1456198796,
Andorra,2003,1917948475,
Andorra,2004,2322163502,
Andorra,2005,2539759286,
Andorra,2006,2823503853,
Andorra,2007,3245411584,
Andorra,2008,3712034267,
Angola,1985,6804278063,
Angola,1986,6355849179,
Angola,1987,7383121654,
Angola,1988,7975234067,
Angola,1989,9283054576,
Angola,1990,10260193361,
Angola,1991,12193746625,
Angola,1992,5779394292,
Angola,1993,5285600050,
Angola,1994,4059577145,
Angola,1995,5039534776,
Angola,1996,7526446606,
Angola,1997,7648377413,
Angola,1998,6445041825,
Angola,1999,6152922943,
Angola,2000,9129594819,
Angola,2001,8936079253,
Angola,2002,11431736695,
Angola,2003,13956268143,
Angola,2004,19775227835,
Angola,2005,28233699240,
Angola,2006,41789494462,
Angola,2007,60448890972,
Angola,2008,84178086999,
Angola,2009,75492417649,
Angola,2010,82470894868,
Angola,2011,1.04116E+11,
Angola,2012,1.14197E+11,
Antigua and Barbuda,1977,66144443.28,
Antigua and Barbuda,1978,74855554.23,
